course_code,title,labels
3117,Διακριτά Μαθηματικά,"Μαθηματικά, Θεωρία_Υπολογισμού"
3135,Εισαγωγή στην Επιστήμη των Υπολογιστών [ΕΕΥ],"Συστήματα, Προγραμματισμός, Θεωρία_Υπολογισμού"
3151,Εισαγωγή στην Οικονομική Επιστήμη,Οικονομία_Διοίκηση
3125,Εισαγωγή στον Προγραμματισμό Υπολογιστών [PYTHON],"Προγραμματισμός, Python"
3119,Μαθηματικά I,Μαθηματικά
3254,Εισαγωγή στη Διοίκηση Επιχειρήσεων,Οικονομία_Διοίκηση
3214,Μαθηματικά II,Μαθηματικά
3311,Πιθανότητες,Μαθηματικά
3222,Προγραμματισμός Υπολογιστών με JAVA [JAVA],"Προγραμματισμός, Java"
3262,Σχεδίαση Ψηφιακών Συστημάτων,Συστήματα
3335,Δομές Δεδομένων [ΔΔ],"Προγραμματισμός, Θεωρία_Υπολογισμού"
3365,Οργάνωση Συστημάτων Υπολογιστών [ΟΣΥ],Συστήματα
3321,Προγραμματισμός Υπολογιστών με C++ [C++],"Προγραμματισμός, C++"
3230,Υπολογιστικά Μαθηματικά,"Μαθηματικά, Προγραμματισμός, Θεωρία_Υπολογισμού, Python"
3432,Αλγόριθμοι,"Θεωρία_Υπολογισμού, Μαθηματικά"
3434,Θεωρία Υπολογισμού,Θεωρία_Υπολογισμού
3436,Βάσεις Δεδομένων [ΒΔ],Δεδομένα
3464,Λειτουργικά Συστήματα [ΛΣ],Συστήματα
3648,Τεχνολογία Λογισμικού,"Προγραμματισμός, Εφαρμογές, Java"
3571,Δίκτυα Επικοινωνιών,Δίκτυα
3531,Τεχνητή Νοημοσύνη,"Τεχνητή_Νοημοσύνη, Θεωρία_Υπολογισμού, Python"
3515,Λογική,"Μαθηματικά, Θεωρία_Υπολογισμού, Τεχνητή_Νοημοσύνη"
3155,Στατιστική στην Πληροφορική,"Μαθηματικά, Δεδομένα, Τεχνητή_Νοημοσύνη"
3664,Κατανεμημένα Συστήματα,"Δίκτυα, Εφαρμογές, Προγραμματισμός, Java"
3541,Ανάλυση και Σχεδίαση Πληροφοριακών Συστημάτων,Δεδομένα
3513,Αριθμητική Γραμμική Άλγεβρα,"Μαθηματικά, Θεωρία_Υπολογισμού"
3662,Κυβερνοασφάλεια,"Δίκτυα, Συστήματα, Κυβερνοασφάλεια"
3672,Δίκτυα Υπολογιστών,"Δίκτυα, Κυβερνοασφάλεια"
3642,Επαλήθευση Επικύρωση και Συντήρηση Λογισμικού,"Εφαρμογές, Συστήματα"
3511,Θεωρία και Υποδείγματα Βελτιστοποίησης,"Μαθηματικά, Θεωρία_Υπολογισμού"
3745,Μηχανική Μάθηση,"Τεχνητή_Νοημοσύνη, Δεδομένα, Μαθηματικά, Python"
3543,Συστήματα Διαχείρισης και Ανάλυσης Δεδομένων,Δεδομένα
3751,Αξιολόγηση Επενδύσεων με Εφαρμογές στην Πληροφορική,"Οικονομία_Διοίκηση, Δεδομένα"
3761,Ασφάλεια Δικτύων,"Δίκτυα, Συστήματα, Κυβερνοασφάλεια"
3771,Ασύρματα Δίκτυα και Κινητές Επικοινωνίες,Δίκτυα
3781,Γραφικά Υπολογιστών,"Εφαρμογές, Προγραμματισμός, Μαθηματικά, C++"
3632,Ειδικά Θέματα Αλγορίθμων,"Θεωρία_Υπολογισμού, Μαθηματικά"
3612,Ειδικά Θέματα Διακριτών Μαθηματικών,"Μαθηματικά, Θεωρία_Υπολογισμού"
3614,Εφαρμοσμένες Πιθανότητες και Πιθανοτικοί Αλγόριθμοι,"Μαθηματικά, Θεωρία_Υπολογισμού"
7116,Λογιστικά Πληροφ. Συστ. μέσω Διαδικτύου (ΛΟΧΡΗ),"Οικονομία_Διοίκηση, Δεδομένα"
6127,Μέθοδοι Στατιστικής και Μηχανικής Μάθησης (ΣΤΑ),"Μαθηματικά, Τεχνητή_Νοημοσύνη, Δεδομένα"
3634,Μεταγλωττιστές,"Προγραμματισμός, Συστήματα, Θεωρία_Υπολογισμού"
3818,Οικονομικά Δικτύων,"Οικονομία_Διοίκηση, Δίκτυα"
8143,Συνδυαστική Βελτιστοποίηση (ΔΕΤ),"Μαθηματικά, Θεωρία_Υπολογισμού, Οικονομία_Διοίκηση"
3573,Σήματα Συστήματα και Ψηφιακή Επεξεργασία Σημάτων,"Συστήματα, Μαθηματικά"
3644,Συστήματα Ανάκτησης Πληροφοριών,"Δεδομένα, Συστήματα, Προγραμματισμός"
3747,Τεχνολογίες και Προγραμματισμός Εφαρμογών στον Ιστό,"Προγραμματισμός, Εφαρμογές"
3783,Αλληλεπίδραση Ανθρώπου-Υπολογιστή,"Προγραμματισμός, Εφαρμογές, Java"
6005,Ανάλυση Δεδομένων (ΣΤΑ),"Δεδομένα, Μαθηματικά"
3862,Ανάλυση Επίδοσης Πολύπλοκων Δικτυωμένων Συστ.,"Δίκτυα, Μαθηματικά, Συστήματα"
3842,Ανάπτυξη Εφαρμογών Πληροφοριακών Συστημάτων,"Δεδομένα, Προγραμματισμός, Εφαρμογές"
3561,Αρχιτεκτονική Υπολογιστών,Συστήματα
6082,Γραμμική Άλγεβρα ΙΙ (ΣΤΑ),"Μαθηματικά, Θεωρία_Υπολογισμού"
3741,Εννοιολογική Μοντελοποίηση και Οργάνωση Γνώσεων,"Δεδομένα, Τεχνητή_Νοημοσύνη"
3743,Εξόρυξη Γνώσης και Επιστήμη Δεδομένων,"Δεδομένα, Τεχνητή_Νοημοσύνη, Python"
2610,Επιχειρησιακή Στρατηγική (ΟΔΕ),Οικονομία_Διοίκηση
3713,Θεωρία Παιγνίων και Αποφάσεων,"Μαθηματικά, Θεωρία_Υπολογισμού"
3814,Θεωρία Πληροφορίας,"Θεωρία_Υπολογισμού, Μαθηματικά, Δίκτυα"
8116,Μαθηματική Βελτιστοποίηση (ΔΕΤ),"Μαθηματικά, Θεωρία_Υπολογισμού"
3822,Παράλληλος Προγραμματισμός,"Προγραμματισμός, Συστήματα"
6142,Πιθανότητες ΙΙ (ΣΤΑ),Μαθηματικά
6125,Προσομοίωση (ΣΤΑ),"Μαθηματικά, Προγραμματισμός, Συστήματα"
3791,Στοιχεία Δικαίου της Πληροφορίας,"Οικονομία_Διοίκηση, Κυβερνοασφάλεια"
3882,Τεχνολογία Πολυμέσων,Εφαρμογές
3584,Τεχνολογική Καινοτομία και Επιχειρηματικότητα,Οικονομία_Διοίκηση
3517,Υπολογισιμότητα και Πολυπλοκότητα,Θεωρία_Υπολογισμού
6023,Γραμμικά Μοντέλα (ΣΤΑ),Μαθηματικά
3802,Πτυχιακή Εργασία,Έρευνα
3850,Ερευνητική Εργασία,Έρευνα